data_id,display,remove,correct_data_id,correct_language,done_by
arquitecto gerente,arquitecto gerente,,,,
arquitecto investigador,arquitecto investigador,,,,
arquitecto java ee,arquitecto java ee,,,,
arquitecto jefe proyecto,arquitecto jefe proyecto,,,,
arquitecto paisajista,arquitecto paisajista,,,,
arquitecto proyectista,arquitecto proyectista,,,,
arquitecto proyectos,arquitecto proyectos,,,,
arquitecto redactor,arquitecto redactor,,,,
arquitecto socio director,arquitecto socio director,,,,
arquitecto superior,arquitecto superior,,,,
arquitecto tecnico,arquitecto técnico,,,,
arquitecto tecnico administrador,arquitecto técnico administrador,,,,
arquitecto tecnico administrativo,arquitecto técnico administrativo,,,,
arquitecto tecnico coordinador seguridad,arquitecto técnico coordinador seguridad,,,,
arquitecto tecnico jefe,arquitecto técnico jefe,,,,
arquitecto tecnico proyectista,arquitecto técnico proyectista,,,,
arquitecto urbanista,arquitecto urbanista,,,,
artesano,artesano,,,,
articulista,articulista,,,,
artista,artista,,,,
artista digital,artista digital,,,,
artista docente,artista docente,,,,
artista pintor,artista pintor,,,,
ascensorista,ascensorista,,,,
asesor,asesor,,,,
asesor ambiental,asesor ambiental,,,,
asesor atencion,asesor atención,,,,
asesor auditor,asesor auditor,,,,
asesor banca privada,asesor banca privada,,,,
asesor cientifico,asesor científico,,,,
asesor colaborador,asesor colaborador,,,,
asesor comunicaciones,asesor comunicaciones,,,,
asesor contable,asesor contable,,,,
asesor contable fiscal,asesor contable fiscal,,,,
asesor contenidos,asesor contenidos,,,,
asesor coordinador,asesor coordinador,,,,
